row_index,source,year,dat_score,between_unit_posaware,uniqueness_human_agnostic,in_reference_pool
325,olson_pnas2021,2022,88.312256,83.677278,,1
326,olson_pnas2021,2022,77.826363,79.611569,80.020920,0
327,olson_pnas2021,2022,83.895340,81.275187,81.841826,0
328,olson_pnas2021,2022,88.548691,81.048920,,1
329,olson_pnas2021,2022,79.572884,81.465005,,1
330,olson_pnas2021,2022,76.386681,77.715153,78.265123,0
331,olson_pnas2021,2022,77.315712,77.869789,,1
332,olson_pnas2021,2022,76.161156,78.022707,78.520223,0
333,olson_pnas2021,2022,86.538872,84.526185,84.570375,0
334,olson_pnas2021,2022,78.117332,79.257380,,1
335,olson_pnas2021,2022,77.769554,77.751124,78.625208,0
336,olson_pnas2021,2022,77.500954,79.900013,,1
337,olson_pnas2021,2022,88.095047,84.927286,84.722048,0
338,olson_pnas2021,2022,73.382919,80.580481,,1
339,olson_pnas2021,2022,75.447372,76.915217,,1
340,olson_pnas2021,2022,72.400597,76.120968,,1
341,olson_pnas2021,2022,66.090599,76.070363,,1
342,olson_pnas2021,2022,74.877266,77.548673,78.597880,0
343,olson_pnas2021,2022,78.153259,78.615190,,1
344,olson_pnas2021,2022,79.575661,80.703257,,1
345,olson_pnas2021,2022,81.295792,81.553778,,1
346,olson_pnas2021,2022,86.167198,82.719608,84.030734,0
347,olson_pnas2021,2022,82.434151,79.290604,80.300459,0
348,olson_pnas2021,2022,83.186768,81.826867,82.594534,0
349,olson_pnas2021,2022,82.991776,79.238081,79.916997,0
350,olson_pnas2021,2022,79.179092,78.236622,78.436033,0
351,olson_pnas2021,2022,76.765129,76.885319,,1
352,olson_pnas2021,2022,72.249863,76.518815,76.966234,0
353,olson_pnas2021,2022,73.726906,77.200231,,1
354,olson_pnas2021,2022,76.510132,78.024677,,1
355,olson_pnas2021,2022,74.676384,77.307906,,1
356,olson_pnas2021,2022,78.044853,77.830633,79.435813,0
357,olson_pnas2021,2022,84.843224,79.863861,81.166446,0
358,olson_pnas2021,2022,75.438950,77.021233,,1
359,olson_pnas2021,2022,86.432297,83.735698,,1
360,olson_pnas2021,2022,81.818512,79.192568,,1
361,olson_pnas2021,2022,68.913223,77.945519,,1
362,olson_pnas2021,2022,77.180740,79.882487,80.087826,0
363,olson_pnas2021,2022,72.377792,80.205521,81.437292,0
364,olson_pnas2021,2022,78.509682,77.775762,78.537582,0
365,olson_pnas2021,2022,74.752327,78.032172,77.922799,0
366,olson_pnas2021,2022,76.075844,77.176378,,1
367,olson_pnas2021,2022,88.615700,82.602501,,1
368,olson_pnas2021,2022,73.403946,75.243999,77.255271,0
369,olson_pnas2021,2022,80.270073,81.210156,,1
370,olson_pnas2021,2022,77.161858,77.713013,78.006203,0
371,olson_pnas2021,2022,74.559219,75.951227,76.456286,0
372,olson_pnas2021,2022,70.963432,76.903490,76.837520,0
373,olson_pnas2021,2022,70.025528,78.306421,,1
374,olson_pnas2021,2022,74.670860,79.167086,,1
375,olson_pnas2021,2022,76.112587,79.839846,79.719866,0
376,olson_pnas2021,2022,80.137009,80.231443,,1
377,olson_pnas2021,2022,76.052406,78.635405,79.383457,0
378,olson_pnas2021,2022,75.841164,77.642189,,1
379,olson_pnas2021,2022,75.615509,76.387790,,1
380,olson_pnas2021,2022,76.799202,77.194595,,1
381,olson_pnas2021,2022,81.740982,80.766178,,1
382,olson_pnas2021,2022,82.116737,80.308668,80.079788,0
383,olson_pnas2021,2022,82.467010,79.501994,80.356317,0
384,olson_pnas2021,2022,64.407036,78.888462,77.802592,0
385,olson_pnas2021,2022,74.586716,79.409654,78.556996,0
386,olson_pnas2021,2022,73.325401,78.557470,78.144842,0
387,olson_pnas2021,2022,77.861252,77.844996,,1
388,olson_pnas2021,2022,72.027878,80.722325,,1
389,olson_pnas2021,2022,69.475258,75.531282,76.310674,0
390,olson_pnas2021,2022,77.024284,77.342656,,1
391,olson_pnas2021,2022,77.460808,80.655440,79.783454,0
392,olson_pnas2021,2022,79.503723,79.472561,,1
393,olson_pnas2021,2022,82.009521,80.179252,,1
394,olson_pnas2021,2022,86.183304,86.024787,,1
395,olson_pnas2021,2022,77.228874,78.749701,,1
396,olson_pnas2021,2022,76.668793,77.440152,77.923283,0
397,olson_pnas2021,2022,53.009670,74.994483,76.841747,0
